PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
43	PERSON	Tom	direction;court;palace;rain;air;s;paper;mouth;mother;puff;parasol;wind;ground	little;cambric;wet	blow;be;give;travel;have;carry;tie;make	5.77527777778	3.96222222222	5.36111111111	Tom was soon well again; but as there had been a fall of rain, and the ground was very wet, he could not travel back to King Arthur"s court; therefore his mother, one day when the wind was blowing in that direction, made a little parasol of cambric paper, and tying Tom to it, she gave him a puff into the air with her mouth, which soon carried him to the king"s palace.
43	PERSON	King Arthur	direction;court;palace;rain;air;s;paper;mouth;mother;puff;parasol;wind;ground	little;cambric;wet	blow;be;give;travel;have;carry;tie;make	5.77527777778	3.96222222222	5.36111111111	Tom was soon well again; but as there had been a fall of rain, and the ground was very wet, he could not travel back to King Arthur"s court; therefore his mother, one day when the wind was blowing in that direction, made a little parasol of cambric paper, and tying Tom to it, she gave him a puff into the air with her mouth, which soon carried him to the king"s palace.
43	PERSON	Tom	direction;court;palace;rain;air;s;paper;mouth;mother;puff;parasol;wind;ground	little;cambric;wet	blow;be;give;travel;have;carry;tie;make	5.77527777778	3.96222222222	5.36111111111	Tom was soon well again; but as there had been a fall of rain, and the ground was very wet, he could not travel back to King Arthur"s court; therefore his mother, one day when the wind was blowing in that direction, made a little parasol of cambric paper, and tying Tom to it, she gave him a puff into the air with her mouth, which soon carried him to the king"s palace.
43	PERSON	the king	direction;court;palace;rain;air;s;paper;mouth;mother;puff;parasol;wind;ground	little;cambric;wet	blow;be;give;travel;have;carry;tie;make	5.77527777778	3.96222222222	5.36111111111	Tom was soon well again; but as there had been a fall of rain, and the ground was very wet, he could not travel back to King Arthur"s court; therefore his mother, one day when the wind was blowing in that direction, made a little parasol of cambric paper, and tying Tom to it, she gave him a puff into the air with her mouth, which soon carried him to the king"s palace.
44	PERSON	Tom	majesty;middle;bowl;fellow;dish;s;time;cook;furmenty	poor;great;fond;little;hot;plump	fly;be;pass;face;splash;fall;happen;come	5.82413793103	4.06862068966	5.45137931034	Just at the time when Tom came flying across the courtyard, the cook happened to be passing with the king"s great bowl of furmenty, which was a dish his majesty was very fond of; but unfortunately the poor little fellow fell plump into the middle of it, and splashed the hot furmenty about the cook"s face.
44	LOCATION	the courtyard	majesty;middle;bowl;fellow;dish;s;time;cook;furmenty	poor;great;fond;little;hot;plump	fly;be;pass;face;splash;fall;happen;come	5.82413793103	4.06862068966	5.45137931034	Just at the time when Tom came flying across the courtyard, the cook happened to be passing with the king"s great bowl of furmenty, which was a dish his majesty was very fond of; but unfortunately the poor little fellow fell plump into the middle of it, and splashed the hot furmenty about the cook"s face.
44	PERSON	the king	majesty;middle;bowl;fellow;dish;s;time;cook;furmenty	poor;great;fond;little;hot;plump	fly;be;pass;face;splash;fall;happen;come	5.82413793103	4.06862068966	5.45137931034	Just at the time when Tom came flying across the courtyard, the cook happened to be passing with the king"s great bowl of furmenty, which was a dish his majesty was very fond of; but unfortunately the poor little fellow fell plump into the middle of it, and splashed the hot furmenty about the cook"s face.
45	PERSON	The king	person;treason	high;enraged	be;seize;try;hear;plead;behead;order;dare;condemn	5.09588235294	4.15	5.23588235294	The king was so enraged when he heard this, that he ordered Tom to be seized and tried for high treason; and there being no person who dared to plead for him, he was condemned to be beheaded immediately.
45	PERSON	Tom	person;treason	high;enraged	be;seize;try;hear;plead;behead;order;dare;condemn	5.09588235294	4.15	5.23588235294	The king was so enraged when he heard this, that he ordered Tom to be seized and tried for high treason; and there being no person who dared to plead for him, he was condemned to be beheaded immediately.
46	PERSON	Tom	miller;mill;home		break;go;disappear;have	5.39571428571	3.98	5.20571428571	Now, as Tom had disappeared, the court broke up, and the miller went home to his mill.
46	LOCATION	the court	miller;mill;home		break;go;disappear;have	5.39571428571	3.98	5.20571428571	Now, as Tom had disappeared, the court broke up, and the miller went home to his mill.
47	PERSON	Tom	miller;man;haste;doctor	much;frightened;other	be;begin;dance;send;learn;sing;come	5.80625	4.06625	5.47125	When the doctor came, Tom began to dance and sing; and the doctor, being as much frightened as the miller, sent in haste for five other doctors and twenty learned men.
48	PERSON	Tom	case;miller;jump;middle;chance;foot	extraordinary	be;seize;alight;make;yawn;happen;debate	5.59357142857	3.755	5.7	When they were debating about this extraordinary case, the miller happened to yawn, when Tom, seizing the chance, made another jump, and alighted safely upon his feet in the middle of the table.
48	LOCATION	the table	case;miller;jump;middle;chance;foot	extraordinary	be;seize;alight;make;yawn;happen;debate	5.59357142857	3.755	5.7	When they were debating about this extraordinary case, the miller happened to yawn, when Tom, seizing the chance, made another jump, and alighted safely upon his feet in the middle of the table.
